claim_id,is_fraud
CLM-00938,False
CLM-01403,False
CLM-01638,False
CLM-01224,False
CLM-00311,False
CLM-00919,False
CLM-01542,False
CLM-01295,False
CLM-01324,False
CLM-01425,False
CLM-00170,True
CLM-01776,False
CLM-01769,False
CLM-00045,True
CLM-00807,False
CLM-01708,False
CLM-01129,False
CLM-00212,False
CLM-01250,False
CLM-00900,False
CLM-00504,False
CLM-00860,False
CLM-00464,False
CLM-00086,True
CLM-01211,False
CLM-01786,False
CLM-01019,False
CLM-01541,False
CLM-01695,False
CLM-01835,False
CLM-00749,False
CLM-01379,False
CLM-00933,False
CLM-01062,False
CLM-01163,False
CLM-01535,False
CLM-01808,False
CLM-00546,False
CLM-00082,True
CLM-01574,False
CLM-01983,False
CLM-00092,True
CLM-01525,False
CLM-00215,False
CLM-01309,False
CLM-00281,False
CLM-00554,False
CLM-01489,False
CLM-00096,True
CLM-00201,True
CLM-01964,False
CLM-01829,False
CLM-00788,False
CLM-00508,False
CLM-01753,False
CLM-01400,False
CLM-01742,False
CLM-00385,False
CLM-00571,False
CLM-01310,False
CLM-00801,False
CLM-01521,False
CLM-00217,False
CLM-01674,False
CLM-00191,True
CLM-00772,False
CLM-01479,False
CLM-01920,False
CLM-00573,False
CLM-01485,False
CLM-00280,False
CLM-01586,False
CLM-01373,False
CLM-01366,False
CLM-01060,False
CLM-00316,False
CLM-00671,False
CLM-00378,False
CLM-00099,True
CLM-01181,False
CLM-01099,False
CLM-01450,False
CLM-00913,False
CLM-01734,False
CLM-00617,False
CLM-01606,False
CLM-00151,True
CLM-00637,False
CLM-01157,False
CLM-00553,False
CLM-01360,False
CLM-00963,False
CLM-00171,True
CLM-00774,False
CLM-00219,False
CLM-00962,False
CLM-00416,False
CLM-01902,False
CLM-00270,False
CLM-00260,False
CLM-01488,False
CLM-01392,False
CLM-00540,False
CLM-00010,True
CLM-01892,False
CLM-00467,False
CLM-00577,False
CLM-00395,False
CLM-00795,False
CLM-00974,False
CLM-01988,False
CLM-01728,False
CLM-01333,False
CLM-00715,False
CLM-01263,False
CLM-00593,False
CLM-00690,False
CLM-01968,False
CLM-00387,False
CLM-01077,False
CLM-00283,False
CLM-00864,False
CLM-01850,False
CLM-00643,False
CLM-00105,True
CLM-00004,True
CLM-00435,False
CLM-00123,True
CLM-01262,False
CLM-01453,False
CLM-01316,False
CLM-00380,False
CLM-00410,False
CLM-01789,False
CLM-01365,False
CLM-00305,False
CLM-01498,False
CLM-00915,False
CLM-01764,False
CLM-01548,False
CLM-01957,False
CLM-00850,False
CLM-01239,False
CLM-00273,False
CLM-00100,True
CLM-01213,False
CLM-00721,False
CLM-01442,False
CLM-00782,False
CLM-00153,True
CLM-00885,False
CLM-00109,True
CLM-00291,False
CLM-01583,False
CLM-01313,False
CLM-00432,False
